'sample #','EEG Fp1','EEG Fp2','EEG F3','EEG F4','EEG F7','EEG F8','EEG T3','EEG T4','EEG C3','EEG C4','EEG T5','EEG T6','EEG P3','EEG P4','EEG O1','EEG O2','EEG Fz','EEG Cz','EEG Pz','EEG A2-A1','ECG ECG','EDF Annotations'
2549,-5168,2109,-3985,-10100,2933,-5706,8655,-7728,-1916,-5468,-6346,-6212,-6071,-5394,-8465,-3625,-10757,-4980,-5575,3231,9297,0
2550,-4187,2831,-2848,-8998,3981,-5172,8716,-7248,-450,-4426,-6044,-6352,-5490,-4682,-8894,-3742,-9674,-2734,-4668,4898,14457,0
2551,-3106,3658,-1702,-7896,5547,-4641,9070,-6734,1158,-3291,-5527,-6654,-4730,-3792,-9114,-3740,-8582,-310,-3578,6285,19035,0
2552,-1994,4581,-644,-6844,7465,-4128,9603,-6271,2738,-2184,-4920,-7129,-3932,-2902,-9213,-3719,-7531,2085,-2452,7265,22694,0
2553,-915,5580,242,-5865,9517,-3622,10170,-5920,4129,-1210,-4345,-7759,-3222,-2185,-9280,-3782,-6548,4284,-1437,7731,25149,0
2554,85,6634,916,-4954,11503,-3085,10631,-5720,5210,-440,-3895,-8515,-2692,-1778,-9388,-4010,-5633,6172,-655,7614,26182,0
2555,989,7721,1373,-4086,13272,-2471,10884,-5684,5909,84,-3627,-9358,-2388,-1763,-9572,-4442,-4769,7688,-187,6887,25658,0
2556,1796,8812,1644,-3233,14733,-1744,10876,-5808,6211,346,-3555,-10247,-2310,-2155,-9825,-5068,-3931,8814,-54,5576,23539,0
2557,2508,9858,1782,-2383,15841,-897,10608,-6065,6150,365,-3657,-11132,-2419,-2900,-10093,-5822,-3111,9560,-220,3757,19903,0
2558,3123,10796,1842,-1550,16568,37,10120,-6414,5793,172,-3885,-11947,-2649,-3886,-10293,-6595,-2321,9958,-598,1554,14952,0
2559,3622,11551,1863,-775,16883,988,9479,-6797,5224,-178,-4174,-12612,-2922,-4967,-10329,-7254,-1601,10049,-1072,-871,9015,0
2560,3974,12057,1863,-125,16748,1857,8758,-7150,4525,-618,-4454,-13038,-3160,-5988,-10115,-7668,-1010,9880,-1527,-3334,2526,0
2561,4144,12267,1833,324,16139,2537,8030,-7410,3769,-1085,-4666,-13143,-3297,-6815,-9601,-7741,-618,9496,-1872,-5656,-4020,0
2562,4099,12163,1743,497,15073,2924,7364,-7532,3008,-1530,-4763,-12871,-3281,-7359,-8781,-7430,-490,8929,-2061,-7685,-10139,0
2563,3807,11748,1545,334,13628,2934,6818,-7504,2273,-1932,-4720,-12208,-3083,-7585,-7699,-6753,-684,8190,-2097,-9326,-15422,0
2564,3240,11034,1183,-213,11938,2502,6441,-7351,1570,-2310,-4537,-11193,-2699,-7517,-6443,-5779,-1247,7263,-2021,-10547,-19600,0
2565,2365,10024,597,-1178,10166,1592,6264,-7138,880,-2721,-4230,-9909,-2159,-7224,-5128,-4612,-2217,6110,-1906,-11383,-22568,0
2566,1144,8703,-267,-2582,8463,198,6293,-6956,165,-3248,-3833,-8476,-1522,-6808,-3878,-3362,-3623,4682,-1833,-11917,-24387,0
2567,-456,7047,-1451,-4429,6929,-1652,6500,-6904,-633,-3986,-3386,-7030,-882,-6375,-2808,-2123,-5478,2934,-1881,-12249,-25242,0
2568,-2443,5043,-2960,-6693,5602,-3880,6828,-7064,-1574,-5011,-2931,-5701,-350,-6013,-2005,-959,-7766,849,-2118,-12468,-25392,0
2569,-4784,2716,-4762,-9307,4462,-6361,7201,-7480,-2699,-6359,-2505,-4596,-35,-5778,-1517,102,-10426,-1543,-2592,-12626,-25110,0
2570,-7387,148,-6778,-12154,3464,-8923,7543,-8142,-4020,-8006,-2136,-3786,-24,-5677,-1348,1064,-13343,-4162,-3328,-12734,-24640,0
2571,-10102,-2520,-8886,-15068,2568,-11370,7796,-8989,-5500,-9860,-1844,-3298,-353,-5680,-1457,1942,-16347,-6871,-4313,-12765,-24167,0
2572,-12740,-5109,-10936,-17854,1759,-13512,7933,-9916,-7057,-11771,-1640,-3114,-1001,-5724,-1770,2750,-19234,-9494,-5500,-12681,-23811,0
2573,-15105,-7428,-12774,-20313,1052,-15199,7953,-10800,-8578,-13561,-1536,-3186,-1897,-5740,-2197,3491,-21796,-11840,-6805,-12457,-23629,0
2574,-17027,-9317,-14264,-22278,473,-16356,7879,-11526,-9943,-15048,-1546,-3441,-2937,-5674,-2652,4145,-23855,-13725,-8111,-12098,-23621,0
2575,-18391,-10672,-15311,-23640,47,-16986,7730,-12006,-11050,-16087,-1688,-3798,-4015,-5501,-3068,4675,-25294,-15009,-9297,-11642,-23753,0
2576,-19148,-11458,-15864,-24356,-216,-17165,7520,-12194,-11831,-16589,-1983,-4181,-5042,-5231,-3412,5032,-26064,-15606,-10252,-11148,-23962,0
2577,-19313,-11702,-15923,-24446,-319,-17002,7246,-12087,-12262,-16533,-2445,-4527,-5958,-4900,-3678,5173,-26183,-15496,-10902,-10676,-24179,0
2578,-18950,-11479,-15522,-23978,-265,-16602,6898,-11712,-12351,-15963,-3074,-4787,-6735,-4560,-3891,5072,-25721,-14723,-11223,-10268,-24341,0
2579,-18154,-10886,-14732,-23046,-51,-16032,6471,-11118,-12133,-14973,-3845,-4931,-7362,-4257,-4081,4723,-24775,-13379,-11247,-9936,-24407,0
2580,-17034,-10026,-13640,-21761,344,-15312,5968,-10368,-11658,-13696,-4714,-4953,-7846,-4034,-4285,4149,-23462,-11603,-11057,-9666,-24366,0
2581,-15704,-8998,-12356,-20248,936,-14432,5406,-9536,-10985,-12287,-5623,-4865,-8200,-3922,-4531,3392,-21908,-9564,-10766,-9428,-24238,0
2582,-14283,-7892,-10995,-18641,1727,-13380,4801,-8708,-10189,-10907,-6514,-4703,-8455,-3945,-4838,2509,-20256,-7459,-10501,-9192,-24064,0
2583,-12884,-6794,-9676,-17088,2683,-12180,4164,-7974,-9356,-9707,-7345,-4524,-8659,-4127,-5219,1551,-18655,-5494,-10376,-8939,-23891,0
2584,-11614,-5777,-8508,-15735,3729,-10901,3492,-7420,-8584,-8810,-8100,-4389,-8879,-4486,-5683,576,-17255,-3870,-10467,-8668,-23759,0
2585,-10559,-4901,-7579,-14701,4760,-9653,2768,-7109,-7966,-8286,-8784,-4357,-9187,-5026,-6231,-383,-16176,-2734,-10806,-8388,-23684,0
2586,-9772,-4195,-6936,-14052,5663,-8550,1981,-7061,-7576,-8143,-9421,-4461,-9640,-5724,-6858,-1295,-15484,-2160,-11376,-8117,-23661,0
2587,-9257,-3651,-6585,-13779,6354,-7667,1134,-7245,-7444,-8314,-10029,-4705,-10258,-6529,-7547,-2141,-15168,-2108,-12107,-7868,-23665,0
2588,-8964,-3214,-6487,-13789,6800,-7007,265,-7577,-7549,-8675,-10616,-5057,-11011,-7361,-8274,-2913,-15133,-2424,-12902,-7650,-23669,0
2589,-8795,-2790,-6562,-13925,7042,-6493,-557,-7939,-7819,-9068,-11166,-5460,-11816,-8127,-9007,-3609,-15223,-2870,-13653,-7470,-23656,0
2590,-8622,-2264,-6709,-14003,7189,-5989,-1234,-8205,-8144,-9338,-11640,-5846,-12563,-8736,-9713,-4232,-15255,-3166,-14256,-7325,-23629,0
2591,-8314,-1524,-6820,-13855,7394,-5341,-1663,-8264,-8397,-9365,-11994,-6141,-13128,-9117,-10362,-4780,-15062,-3065,-14629,-7206,-23608,0
2592,-7760,-490,-6794,-13366,7815,-4424,-1759,-8045,-8463,-9082,-12183,-6280,-13419,-9227,-10928,-5246,-14530,-2403,-14713,-7090,-23626,0
2593,-6894,873,-6561,-12489,8578,-3180,-1477,-7513,-8252,-8476,-12182,-6203,-13379,-9051,-11387,-5610,-13613,-1135,-14481,-6938,-23704,0
2594,-5704,2544,-6078,-11245,9737,-1622,-817,-6670,-7713,-7577,-11988,-5856,-12991,-8594,-11718,-5840,-12331,673,-13928,-6699,-23848,0
2595,-4220,4460,-5337,-9699,11268,169,179,-5542,-6831,-6433,-11623,-5198,-12281,-7881,-11899,-5901,-10745,2879,-13069,-6326,-24033,0
2596,-2509,6529,-4358,-7940,13066,2079,1442,-4173,-5620,-5098,-11122,-4211,-11293,-6956,-11909,-5768,-8939,5312,-11937,-5788,-24217,0
2597,-652,8651,-3176,-6057,14988,3985,2900,-2624,-4115,-3629,-10524,-2912,-10079,-5875,-11737,-5441,-6995,7820,-10585,-5091,-24348,0
2598,1272,10727,-1842,-4132,16885,5770,4484,-977,-2370,-2085,-9857,-1368,-8693,-4720,-11381,-4950,-4993,10290,-9079,-4293,-24381,0
2599,3182,12669,-407,-2242,18631,7338,6134,665,-463,-542,-9135,304,-7189,-3591,-10858,-4356,-3013,12640,-7504,-3493,-24299,0
2600,5002,14398,1056,-470,20145,8607,7785,2179,1505,902,-8361,1948,-5636,-2599,-10201,-3743,-1146,14811,-5957,-2814,-24111,0
2601,6648,15842,2473,1095,21386,9511,9348,3442,3400,2130,-7534,3399,-4109,-1850,-9460,-3195,506,16722,-4543,-2374,-23850,0
2602,8028,16937,3747,2357,22324,10005,10708,4343,5060,3016,-6662,4520,-2700,-1423,-8696,-2781,1830,18277,-3360,-2252,-23567,0
2603,9039,17630,4764,3227,22932,10074,11722,4809,6315,3455,-5770,5225,-1505,-1353,-7972,-2540,2721,19357,-2498,-2472,-23310,0
2604,9580,17880,5411,3635,23174,9745,12250,4820,7016,3381,-4903,5502,-606,-1625,-7345,-2477,3101,19853,-2024,-2994,-23115,0
2605,9570,17664,5588,3541,23015,9088,12192,4412,7060,2784,-4114,5399,-53,-2177,-6855,-2567,2929,19692,-1969,-3727,-22997,0
2606,8968,16982,5235,2946,22446,8201,11525,3659,6420,1716,-3453,5013,150,-2907,-6520,-2766,2214,18861,-2321,-4556,-22950,0
2607,7784,15856,4346,1884,21507,7190,10326,2668,5156,276,-2953,4458,46,-3696,-6325,-3020,1008,17413,-3015,-5367,-22948,0
2608,6088,14337,2977,420,20294,6144,8766,1548,3406,-1400,-2618,3840,-279,-4427,-6228,-3277,-606,15462,-3939,-6071,-22955,0
2609,4003,12504,1242,-1362,18947,5109,7080,402,1357,-3166,-2424,3247,-712,-4998,-6159,-3485,-2524,13162,-4939,-6614,-22933,0
2610,1695,10465,-704,-3362,17620,4092,5521,-680,-783,-4884,-2326,2741,-1138,-5332,-6040,-3598,-4634,10689,-5843,-6978,-22850,0
2611,-652,8353,-2687,-5470,16433,3069,4307,-1636,-2820,-6434,-2265,2366,-1454,-5381,-5793,-3574,-6816,8227,-6481,-7180,-22693,0
2612,-2854,6308,-4536,-7567,15450,2010,3583,-2414,-4597,-7723,-2184,2150,-1584,-5128,-5356,-3373,-8953,5964,-6721,-7256,-22468,0
2613,-4756,4469,-6105,-9532,14667,905,3400,-2978,-6002,-8691,-2037,2108,-1485,-4583,-4699,-2966,-10925,4078,-6481,-7256,-22199,0
2614,-6239,2944,-7284,-11245,14028,-220,3724,-3307,-6966,-9303,-1794,2246,-1150,-3782,-3825,-2338,-12617,2733,-5757,-7225,-21922,0
2615,-7237,1804,-8008,-12602,13469,-1306,4448,-3399,-7458,-9554,-1447,2543,-604,-2784,-2771,-1497,-13932,2052,-4615,-7199,-21672,0
2616,-7731,1078,-8256,-13525,12942,-2271,5424,-3271,-7477,-9466,-1018,2963,95,-1668,-1609,-473,-14797,2098,-3185,-7194,-21472,0
2617,-7742,756,-8049,-13972,12447,-3038,6491,-2959,-7053,-9080,-558,3452,863,-527,-435,676,-15175,2851,-1640,-7201,-21326,0
2618,-7325,805,-7443,-13945,12023,-3547,7498,-2520,-6242,-8458,-147,3946,1591,535,635,1871,-15074,4205,-168,-7191,-21221,0
2619,-6555,1181,-6521,-13487,11731,-3773,8322,-2015,-5134,-7671,116,4381,2159,1424,1483,3022,-14542,5983,1058,-7121,-21134,0
2620,-5521,1833,-5389,-12677,11621,-3718,8886,-1510,-3841,-6793,128,4707,2457,2054,2000,4033,-13662,7967,1903,-6949,-21043,0
2621,-4323,2697,-4161,-11620,11711,-3411,9157,-1063,-2492,-5895,-192,4885,2398,2367,2107,4816,-12541,9946,2291,-6652,-20932,0
2622,-3072,3694,-2956,-10430,11981,-2890,9150,-723,-1219,-5038,-878,4888,1940,2337,1768,5302,-11297,11743,2210,-6238,-20800,0
2623,-1879,4720,-1884,-9223,12376,-2204,8913,-525,-145,-4275,-1907,4691,1092,1968,1003,5436,-10044,13246,1701,-5753,-20655,0
2624,-859,5659,-1037,-8105,12825,-1410,8506,-501,630,-3655,-3192,4266,-92,1289,-119,5195,-8890,14402,846,-5276,-20511,0
2625,-109,6392,-486,-7169,13254,-578,7978,-679,1025,-3228,-4603,3581,-1519,344,-1487,4583,-7930,15203,-254,-4910,-20382,0
2626,298,6831,-274,-6492,13592,205,7349,-1087,985,-3048,-5992,2603,-3086,-820,-2970,3631,-7247,15662,-1503,-4764,-20278,0
2627,320,6927,-426,-6138,13769,837,6600,-1754,476,-3169,-7227,1316,-4691,-2156,-4443,2396,-6905,15790,-2821,-4931,-20203,0
2628,-46,6686,-929,-6147,13719,1219,5692,-2698,-505,-3639,-8216,-273,-6248,-3618,-5794,953,-6949,15590,-4143,-5468,-20159,0
2629,-761,6156,-1743,-6532,13379,1268,4589,-3915,-1926,-4482,-8924,-2113,-7688,-5158,-6947,-605,-7387,15061,-5416,-6381,-20138,0
2630,-1756,5416,-2800,-7265,12714,951,3294,-5371,-3704,-5678,-9363,-4111,-8958,-6717,-7853,-2181,-8187,14210,-6592,-7615,-20127,0
2631,-2924,4559,-3991,-8273,11741,296,1878,-6991,-5697,-7159,-9578,-6138,-10012,-8222,-8490,-3681,-9265,13079,-7619,-9058,-20108,0
2632,-4132,3679,-5182,-9438,10538,-597,480,-8664,-7717,-8803,-9625,-8047,-10805,-9596,-8858,-5022,-10489,11747,-8441,-10554,-20053,0
2633,-5225,2875,-6220,-10607,9262,-1572,-704,-10255,-9546,-10455,-9554,-9692,-11294,-10760,-8974,-6143,-11694,10340,-9012,-11931,-19937,0
2634,-6046,2246,-6957,-11615,8114,-2442,-1476,-11628,-10975,-11948,-9396,-10958,-11444,-11653,-8870,-7010,-12708,9008,-9298,-13031,-19740,0
2635,-6457,1892,-7280,-12317,7304,-3027,-1675,-12667,-11843,-13133,-9162,-11771,-11239,-12248,-8591,-7620,-13378,7907,-9295,-13743,-19456,0
2636,-6366,1903,-7136,-12609,6990,-3192,-1233,-13292,-12067,-13899,-8852,-12112,-10677,-12536,-8193,-8002,-13602,7169,-9028,-14023,-19092,0
2637,-5753,2332,-6545,-12447,7235,-2874,-190,-13471,-11654,-14191,-8461,-12011,-9789,-12544,-7741,-8206,-13342,6876,-8549,-13899,-18666,0
2638,-4679,3181,-5600,-11849,7991,-2089,1310,-13218,-10696,-14001,-7993,-11539,-8631,-12314,-7299,-8299,-12625,7053,-7925,-13459,-18204,0
2639,-3279,4383,-4443,-10887,9106,-924,3055,-12582,-9345,-13368,-7459,-10789,-7279,-11890,-6920,-8348,-11533,7661,-7226,-12823,-17726,0
2640,-1733,5814,-3237,-9663,10371,489,4812,-11633,-7771,-12359,-6883,-9860,-5822,-11311,-6649,-8410,-10177,8623,-6520,-12116,-17244,0
2641,-235,7309,-2127,-8288,11581,2004,6378,-10457,-6137,-11065,-6299,-8844,-4350,-10610,-6510,-8525,-8682,9828,-5864,-11437,-16760,0
2642,1054,8704,-1219,-6871,12576,3490,7616,-9136,-4569,-9587,-5745,-7811,-2945,-9809,-6515,-8712,-7162,11162,-5306,-10843,-16271,0
2643,2033,9867,-562,-5500,13290,4852,8469,-7751,-3153,-8034,-5261,-6804,-1672,-8933,-6660,-8963,-5714,12520,-4883,-10343,-15774,0
2644,2665,10725,-152,-4245,13744,6038,8961,-6367,-1929,-6512,-4878,-5835,-575,-8007,-6926,-9249,-4409,13810,-4622,-9906,-15271,0
2645,2985,11271,52,-3153,14024,7042,9170,-5031,-905,-5114,-4610,-4880,331,-7057,-7282,-9523,-3297,14954,-4536,-9465,-14772,0
2646,3073,11558,120,-2247,14245,7888,9204,-3769,-68,-3910,-4456,-3890,1054,-6113,-7683,-9728,-2401,15883,-4620,-8944,-14292,0
2647,3025,11672,110,-1535,14496,8618,9159,-2582,606,-2934,-4392,-2801,1616,-5204,-8076,-9807,-1726,16537,-4853,-8267,-13844,0
2648,2930,11704,76,-1009,14818,9272,9100,-1458,1137,-2186,-4387,-1557,2041,-4361,-8409,-9715,-1261,16864,-5204,-7380,-13437,0
2649,2847,11722,49,-655,15189,9862,9038,-387,1536,-1642,-4415,-132,2340,-3623,-8648,-9435,-984,16829,-5648,-6270,-13068,0
2650,2794,11751,33,-458,15536,10366,8932,627,1801,-1260,-4468,1448,2504,-3036,-8785,-8985,-870,16424,-6176,-4973,-12727,0
2651,2755,11774,19,-407,15768,10726,8709,1554,1916,-1003,-4557,3099,2499,-2657,-8844,-8414,-895,15672,-6799,-3576,-12394,0
2652,2690,11740,-6,-495,15809,10860,8302,2341,1868,-844,-4714,4686,2284,-2540,-8873,-7799,-1041,14634,-7546,-2198,-12047,0
2653,2557,11591,-54,-710,15627,10689,7678,2926,1656,-766,-4966,6056,1830,-2715,-8926,-7216,-1287,13400,-8438,-967,-11665,0
2654,2337,11284,-119,-1032,15254,10167,6871,3264,1309,-756,-5322,7070,1135,-3176,-9037,-6724,-1608,12075,-9474,18,-11227,0
2655,2041,10808,-177,-1425,14766,9302,5978,3341,883,-796,-5756,7645,251,-3859,-9207,-6341,-1971,10763,-10610,713,-10718,0
2656,1701,10187,-204,-1847,14270,8163,5135,3190,454,-861,-6208,7772,-739,-4651,-9390,-6037,-2341,9545,-11757,1145,-10128,0
2657,1359,9469,-169,-2254,13863,6860,4470,2880,96,-924,-6599,7528,-1718,-5401,-9506,-5739,-2687,8470,-12791,1402,-9456,0
2658,1044,8702,-65,-2617,13610,5522,4059,2506,-149,-964,-6853,7043,-2575,-5949,-9458,-5348,-2994,7550,-13579,1607,-8711,0
2659,755,7920,85,-2931,13529,4263,3894,2155,-282,-971,-6917,6477,-3222,-6159,-9151,-4765,-3268,6763,-14004,1883,-7911,0
2660,458,7137,229,-3214,13590,3160,3886,1898,-350,-954,-6773,5977,-3610,-5945,-8522,-3909,-3534,6062,-13989,2324,-7081,0
2661,102,6355,292,-3501,13732,2245,3893,1764,-432,-937,-6437,5654,-3734,-5284,-7546,-2744,-3830,5392,-13508,2972,-6248,0
2662,-368,5577,197,-3829,13877,1515,3761,1747,-610,-952,-5946,5552,-3631,-4223,-6247,-1283,-4192,4689,-12590,3815,-5434,0
2663,-987,4823,-114,-4230,13946,938,3374,1809,-944,-1035,-5349,5661,-3364,-2868,-4696,405,-4641,3897,-11308,4797,-4654,0
2664,-1750,4130,-666,-4717,13864,473,2673,1897,-1459,-1218,-4699,5919,-3019,-1366,-3013,2201,-5183,2968,-9771,5837,-3915,0
2665,-2626,3543,-1438,-5289,13570,76,1668,1938,-2136,-1530,-4052,6236,-2688,112,-1348,3955,-5807,1874,-8111,6840,-3213,0
2666,-3558,3095,-2367,-5936,13020,-294,427,1868,-2924,-1990,-3465,6503,-2468,1396,125,5493,-6490,619,-6477,7722,-2544,0
2667,-4479,2793,-3356,-6635,12196,-671,-946,1629,-3752,-2610,-2994,6619,-2437,2340,1239,6659,-7205,-755,-5011,8403,-1906,0
2668,-5326,2617,-4293,-7359,11116,-1079,-2327,1185,-4545,-3382,-2682,6503,-2651,2834,1854,7326,-7920,-2170,-3845,8825,-1302,0
2669,-6044,2526,-5073,-8071,9838,-1525,-3594,523,-5235,-4282,-2548,6102,-3123,2816,1885,7425,-8602,-3521,-3091,8950,-738,0
2670,-6593,2484,-5620,-8732,8449,-2002,-4647,-329,-5778,-5273,-2575,5400,-3830,2279,1317,6949,-9217,-4702,-2823,8766,-219,0
2671,-6950,2470,-5903,-9308,7046,-2494,-5427,-1337,-6162,-6308,-2719,4416,-4723,1258,203,5950,-9743,-5643,-3081,8284,251,0
2672,-7121,2481,-5946,-9784,5711,-2994,-5935,-2443,-6423,-7346,-2922,3198,-5741,-183,-1343,4529,-10173,-6331,-3863,7534,670,0
2673,-7143,2519,-5823,-10175,4484,-3520,-6238,-3603,-6636,-8365,-3136,1811,-6834,-1958,-3177,2806,-10534,-6825,-5129,6561,1040,0
2674,-7090,2572,-5644,-10532,3364,-4119,-6452,-4789,-6911,-9364,-3341,315,-7973,-3977,-5146,907,-10882,-7239,-6799,5409,1366,0
2675,-7062,2600,-5526,-10931,2312,-4859,-6711,-5997,-7360,-10362,-3553,-1239,-9147,-6144,-7103,-1049,-11292,-7706,-8756,4122,1648,0
2676,-7158,2537,-5569,-11448,1286,-5796,-7117,-7236,-8062,-11376,-3808,-2813,-10342,-8354,-8925,-2960,-11834,-8336,-10856,2742,1887,0
2677,-7449,2319,-5826,-12123,268,-6938,-7700,-8504,-9035,-12408,-4140,-4377,-11527,-10488,-10515,-4740,-12543,-9165,-12926,1319,2080,0
2678,-7946,1915,-6288,-12940,-714,-8212,-8399,-9770,-10215,-13422,-4557,-5888,-12641,-12414,-11803,-6320,-13392,-10141,-14802,-83,2222,0
2679,-8591,1357,-6889,-13818,-1576,-9462,-9072,-10956,-11458,-14348,-5023,-7280,-13592,-14000,-12748,-7654,-14293,-11129,-16319,-1379,2311,0
2680,-9259,748,-7515,-14623,-2201,-10479,-9542,-11949,-12577,-15091,-5464,-8464,-14277,-15130,-13339,-8719,-15111,-11946,-17359,-2472,2339,0
2681,-9795,231,-8036,-15211,-2469,-11055,-9652,-12620,-13376,-15555,-5786,-9339,-14605,-15728,-13602,-9526,-15700,-12418,-17859,-3274,2304,0
2682,-10056,-49,-8333,-15463,-2289,-11048,-9308,-12873,-13703,-15673,-5903,-9824,-14529,-15785,-13596,-10117,-15948,-12429,-17818,-3730,2204,0
2683,-9949,8,-8328,-15325,-1638,-10427,-8509,-12670,-13484,-15433,-5764,-9888,-14047,-15362,-13411,-10562,-15806,-11957,-17296,-3840,2039,0
2684,-9462,428,-8002,-14818,-565,-9283,-7338,-12055,-12732,-14880,-5362,-9570,-13217,-14591,-13151,-10945,-15304,-11077,-16407,-3670,1810,0
2685,-8656,1155,-7397,-14030,809,-7801,-5933,-11152,-11550,-14111,-4732,-8977,-12140,-13645,-12921,-11348,-14534,-9935,-15295,-3340,1517,0
2686,-7652,2083,-6606,-13087,2322,-6205,-4441,-10127,-10093,-13251,-3940,-8269,-10946,-12712,-12808,-11838,-13624,-8710,-14112,-3000,1158,0
2687,-6587,3084,-5749,-12118,3807,-4701,-2978,-9152,-8538,-12419,-3055,-7620,-9760,-11959,-12871,-12452,-12705,-7557,-12996,-2799,725,0
2688,-5587,4045,-4948,-11229,5126,-3436,-1606,-8366,-7049,-11705,-2144,-7182,-8697,-11496,-13130,-13197,-11878,-6582,-12051,-2854,209,0
2689,-4742,4889,-4301,-10487,6198,-2483,-329,-7844,-5745,-11147,-1252,-7056,-7835,-11363,-13560,-14048,-11201,-5819,-11332,-3225,-406,0
2690,-4093,5579,-3864,-9915,7001,-1852,890,-7587,-4688,-10734,-409,-7275,-7212,-11518,-14101,-14951,-10691,-5243,-10839,-3914,-1130,0
2691,-3646,6104,-3650,-9499,7562,-1509,2103,-7538,-3892,-10409,368,-7800,-6816,-11847,-14658,-15826,-10326,-4791,-10525,-4863,-1969,0
2692,-3381,6470,-3632,-9196,7927,-1396,3339,-7587,-3327,-10086,1064,-8530,-6600,-12181,-15117,-16570,-10059,-4382,-10306,-5961,-2921,0
2693,-3266,6689,-3757,-8945,8147,-1443,4588,-7604,-2947,-9680,1667,-9315,-6487,-12324,-15363,-17070,-9830,-3941,-10083,-7068,-3974,0
2694,-3268,6778,-3967,-8675,8256,-1572,5786,-7456,-2705,-9117,2159,-9977,-6402,-12089,-15298,-17211,-9575,-3411,-9771,-8020,-5107,0
2695,-3362,6756,-4205,-8323,8277,-1698,6821,-7029,-2566,-8361,2518,-10339,-6278,-11338,-14864,-16904,-9241,-2756,-9317,-8664,-6298,0
2696,-3523,6648,-4426,-7844,8232,-1742,7556,-6257,-2514,-7419,2719,-10256,-6087,-10005,-14058,-16098,-8790,-1970,-8711,-8872,-7518,0
2697,-3731,6481,-4594,-7228,8146,-1641,7860,-5134,-2551,-6344,2730,-9647,-5844,-8121,-12937,-14810,-8216,-1077,-7985,-8561,-8741,0
2698,-3963,6280,-4687,-6504,8059,-1361,7631,-3721,-2690,-5231,2515,-8513,-5604,-5813,-11612,-13107,-7549,-139,-7209,-7712,-9941,0
2699,-4191,6074,-4689,-5732,8010,-899,6833,-2140,-2951,-4189,2039,-6940,-5446,-3279,-10225,-11116,-6847,756,-6457,-6363,-11092,0
2700,-4383,5892,-4593,-4993,8024,-274,5497,-544,-3352,-3322,1276,-5073,-5455,-749,-8928,-8989,-6181,1507,-5798,-4601,-12175,0
2701,-4504,5774,-4403,-4361,8097,488,3731,922,-3900,-2700,220,-3081,-5691,1565,-7844,-6878,-5619,2027,-5274,-2541,-13174,0
2702,-4520,5764,-4137,-3881,8191,1372,1703,2157,-4586,-2329,-1099,-1111,-6173,3507,-7049,-4904,-5200,2276,-4889,-310,-14087,0
2703,-4404,5911,-3823,-3558,8237,2375,-388,3134,-5381,-2157,-2610,737,-6865,5010,-6559,-3149,-4924,2280,-4611,1962,-14920,0
2704,-4149,6246,-3503,-3358,8163,3499,-2337,3895,-6232,-2074,-4204,2422,-7688,6088,-6336,-1646,-4756,2126,-4385,4159,-15685,0
2705,-3770,6776,-3220,-3223,7913,4725,-3978,4528,-7074,-1954,-5747,3945,-8533,6816,-6306,-400,-4636,1942,-4152,6165,-16396,0
2706,-3313,7462,-3016,-3100,7463,5996,-5199,5121,-7837,-1686,-7103,5309,-9291,7288,-6388,600,-4511,1848,-3874,7871,-17061,0
2707,-2850,8217,-2930,-2959,6830,7207,-5973,5717,-8469,-1221,-8166,6497,-9884,7573,-6514,1365,-4355,1910,-3552,9172,-17680,0
2708,-2474,8919,-2990,-2817,6058,8208,-6357,6287,-8949,-599,-8872,7445,-10279,7689,-6653,1896,-4189,2109,-3233,9975,-18243,0
2709,-2288,9419,-3216,-2735,5206,8835,-6479,6717,-9297,56,-9214,8041,-10496,7594,-6808,2185,-4083,2340,-3006,10206,-18735,0
2710,-2388,9573,-3620,-2811,4329,8940,-6499,6851,-9572,553,-9235,8165,-10598,7206,-7015,2220,-4141,2445,-2985,9825,-19145,0
2711,-2845,9265,-4207,-3153,3476,8434,-6583,6521,-9852,695,-9011,7715,-10666,6427,-7319,1994,-4477,2262,-3273,8835,-19470,0
2712,-3692,8428,-4963,-3848,2685,7302,-6853,5612,-10217,314,-8635,6653,-10773,5190,-7765,1513,-5182,1683,-3937,7281,-19722,0
2713,-4910,7063,-5861,-4935,1998,5617,-7366,4100,-10716,-663,-8192,5031,-10965,3490,-8377,793,-6293,689,-4988,5259,-19920,0
2714,-6423,5248,-6848,-6388,1462,3519,-8099,2071,-11354,-2204,-7747,2989,-11251,1391,-9150,-134,-7781,-639,-6368,2902,-20091,0
2715,-8110,3125,-7856,-8116,1123,1188,-8970,-288,-12090,-4167,-7339,742,-11602,-969,-10049,-1229,-9550,-2148,-7964,367,-20259,0
2716,-9821,891,-8808,-9979,1013,-1188,-9860,-2727,-12847,-6340,-6981,-1455,-11961,-3409,-11012,-2435,-11454,-3652,-9628,-2174,-20437,0
2717,-11402,-1239,-9631,-11818,1128,-3452,-10658,-4976,-13535,-8482,-6659,-3349,-12257,-5721,-11953,-3690,-13330,-4984,-11199,-4561,-20628,0
2718,-12726,-3066,-10277,-13487,1414,-5491,-11283,-6796,-14071,-10377,-6345,-4724,-12428,-7711,-12773,-4915,-15031,-6029,-12533,-6659,-20824,0
